Study_Hours,Attendance,Previous_Marks,Assignments_Completed,Sleep_Hours,Practice_Tests,Result
7.9,62,90,7,7.4,7,Pass
9.7,40,89,8,6.7,3,Pass
5.3,42,79,3,5.9,2,Fail
1.9,60,34,1,8.1,1,Fail
0.6,67,46,3,7.5,0,Fail
2.7,88,73,8,6.3,5,Fail
1.8,48,95,9,8.5,10,Fail
6.9,91,82,10,5.1,2,Pass
1.7,54,54,2,4.9,4,Fail
5.3,48,41,6,7.2,10,Fail
7.1,82,93,1,8.9,8,Fail
6.0,87,44,7,5.2,0,Fail
2.4,76,49,4,5.2,5,Fail
8.1,47,93,7,4.7,1,Pass
7.3,47,64,7,8.3,2,Fail
7.5,63,43,10,5.1,2,Fail
1.7,67,25,5,6.5,6,Fail
1.7,100,55,3,9.0,2,Fail
9.3,57,95,5,4.1,2,Pass
4.3,51,55,1,6.8,2,Fail
3.4,97,74,1,6.6,3,Fail
5.1,49,42,5,8.0,7,Fail
6.8,41,80,9,5.8,4,Fail
9.6,65,80,5,6.1,3,Fail
3.2,64,68,8,4.8,5,Fail
9.3,77,79,1,7.7,6,Pass
0.7,93,66,4,7.9,0,Fail
5.8,96,51,6,4.7,9,Fail
6.5,57,77,3,6.0,10,Pass
1.5,99,84,0,8.5,6,Fail
1.8,78,84,0,4.0,6,Fail
4.5,44,40,10,5.5,7,Fail
9.7,97,73,6,6.8,4,Pass
6.2,48,25,2,5.7,4,Fail
9.4,75,65,2,5.4,3,Fail
8.1,88,65,0,6.3,1,Fail
4.9,55,50,10,4.9,9,Fail
8.0,56,95,1,6.6,3,Fail
0.7,69,87,8,7.5,3,Fail
1.5,93,27,2,6.9,10,Fail
8.4,53,39,3,4.5,5,Fail
8.1,80,39,3,8.2,6,Fail
2.7,67,88,9,4.9,2,Fail
5.5,46,61,0,7.8,3,Fail
6.3,83,76,3,5.8,8,Pass
8.7,90,82,3,7.9,4,Fail
6.2,75,79,3,5.0,1,Fail
4.4,50,31,2,4.9,9,Fail
4.1,49,34,10,6.5,4,Fail
4.5,65,53,4,4.2,7,Fail
6.7,70,49,4,5.1,3,Fail
8.7,73,78,4,7.6,6,Pass
4.8,54,36,10,8.2,8,Fail
2.9,70,51,3,4.4,9,Fail
2.7,57,41,3,8.4,2,Fail
7.6,81,38,3,8.0,7,Fail
8.3,88,37,3,8.3,10,Fail
1.5,79,38,0,7.5,7,Fail
1.1,40,65,6,7.4,1,Fail
6.1,100,54,0,6.6,2,Fail
1.9,41,55,2,7.3,2,Fail
8.3,100,59,2,8.6,1,Fail
3.4,41,77,3,4.5,8,Fail
1.9,71,86,8,5.6,10,Fail
9.2,46,62,6,4.4,5,Fail
2.1,45,70,10,8.7,6,Fail
3.2,81,77,3,6.2,8,Fail
2.0,84,74,10,7.4,4,Fail
1.6,47,34,0,8.2,5,Fail
0.7,99,94,5,9.0,6,Fail
1.0,59,36,8,4.8,3,Fail
2.2,59,54,5,8.0,0,Fail
1.0,58,71,10,8.4,6,Fail
6.1,68,53,3,4.2,9,Fail
7.0,50,42,0,7.8,0,Fail
4.2,65,90,8,5.8,2,Pass
3.5,52,30,0,7.2,2,Fail
5.3,43,42,8,6.6,8,Fail
8.8,62,95,8,5.3,5,Pass
8.6,81,76,9,4.7,5,Pass
0.9,86,31,5,4.6,7,Fail
2.2,61,78,9,4.5,3,Fail
2.7,59,93,1,7.2,7,Fail
2.9,88,31,4,5.8,0,Fail
5.9,81,54,1,5.1,1,Fail
4.5,90,58,8,7.5,8,Fail
1.0,95,34,7,7.4,7,Fail
4.0,90,39,8,6.7,1,Fail
5.5,97,37,8,8.7,4,Fail
1.5,65,38,3,5.9,0,Fail
8.4,64,53,0,8.2,7,Fail
1.0,59,57,10,4.4,8,Fail
9.3,54,41,5,7.7,3,Fail
1.4,85,45,1,8.9,3,Fail
8.5,83,38,10,8.2,2,Fail
9.1,88,81,10,6.9,4,Pass
9.8,50,40,4,7.1,2,Fail
8.1,69,89,8,5.8,2,Pass
7.9,53,63,0,7.4,4,Fail
6.6,94,81,1,7.9,9,Pass
7.9,56,70,3,9.0,8,Pass
1.8,48,43,7,6.5,3,Fail
5.6,74,67,1,4.3,10,Fail
5.4,93,44,0,7.0,2,Fail
8.6,95,33,7,4.6,10,Pass
4.9,45,43,8,5.2,3,Fail
4.2,59,44,8,5.6,5,Fail
6.6,49,34,8,7.7,2,Fail
3.0,58,26,8,4.9,8,Fail
1.8,72,92,6,4.8,3,Fail
5.0,57,61,5,4.2,9,Fail
4.5,44,53,9,8.4,0,Fail
2.7,71,91,3,7.5,5,Fail
4.0,43,40,1,4.2,1,Fail
4.0,53,53,8,4.1,9,Pass
3.6,40,85,3,6.8,4,Fail
4.1,45,69,10,5.4,7,Fail
7.0,66,53,4,7.0,9,Fail
3.3,91,43,9,6.2,5,Fail
9.5,87,27,0,8.6,0,Fail
9.2,46,31,7,5.4,2,Fail
5.1,42,36,4,7.4,2,Fail
3.6,60,80,5,4.3,10,Fail
5.6,79,70,2,8.8,9,Fail
8.6,85,55,10,8.9,5,Fail
6.7,90,80,4,7.7,9,Pass
8.1,60,36,9,6.3,2,Fail
5.6,50,39,4,5.1,7,Fail
6.5,41,52,0,8.1,4,Fail
3.2,48,90,9,7.7,2,Fail
7.5,43,68,2,5.1,2,Fail
2.4,92,85,2,6.3,4,Fail
7.1,56,42,9,6.3,3,Fail
8.7,90,85,9,8.1,2,Pass
1.8,73,30,10,7.4,3,Fail
6.3,72,41,4,7.2,1,Fail
1.4,67,62,8,7.2,10,Fail
7.4,89,28,3,5.4,4,Fail
1.3,42,85,8,5.9,1,Fail
9.4,45,86,5,4.2,6,Pass
1.8,65,63,0,7.9,9,Fail
9.6,64,46,4,6.2,3,Fail
8.1,73,32,5,6.2,9,Fail
6.1,85,68,2,5.2,6,Fail
7.9,75,63,4,5.0,8,Fail
8.1,55,78,5,6.9,3,Fail
9.5,59,67,0,5.2,0,Fail
2.9,85,34,1,4.3,3,Fail
6.1,52,33,8,7.8,10,Fail
1.4,70,80,3,5.9,8,Fail
6.4,72,36,6,5.9,8,Fail
2.1,85,91,6,6.2,9,Fail
5.9,83,32,6,8.1,4,Fail
5.9,68,76,4,5.6,3,Fail
4.9,58,94,5,7.8,10,Fail
5.5,62,56,9,8.7,6,Fail
7.8,65,29,10,7.3,3,Fail
8.1,53,87,2,6.2,3,Fail
5.2,78,38,7,7.7,9,Fail
6.2,52,62,10,6.3,0,Fail
9.3,79,94,0,6.1,0,Pass
1.6,85,77,8,6.6,8,Fail
1.6,98,28,5,5.6,0,Fail
1.3,47,83,10,4.5,1,Fail
6.7,86,36,6,6.1,10,Fail
4.5,45,78,9,4.6,4,Fail
7.9,60,69,1,6.1,8,Fail
6.9,50,45,1,6.8,5,Fail
3.7,49,55,10,8.7,0,Fail
9.0,50,33,5,4.2,2,Fail
7.7,42,95,6,7.1,8,Fail
3.1,90,41,1,6.3,1,Fail
4.0,43,46,2,4.1,6,Fail
3.5,64,60,9,5.2,3,Fail
2.0,82,72,3,4.6,4,Fail
1.9,100,60,6,5.1,10,Fail
9.4,92,60,3,5.4,6,Fail
4.7,48,66,2,6.0,6,Fail
4.1,100,85,1,6.6,3,Fail
7.4,79,53,10,4.0,4,Fail
5.8,50,84,10,4.8,7,Fail
9.4,67,80,1,4.5,0,Fail
7.9,95,93,3,6.7,2,Pass
5.1,63,89,6,5.6,6,Fail
4.1,51,81,4,6.7,6,Fail
9.9,93,42,7,5.1,1,Pass
7.3,98,79,2,4.1,8,Pass
9.5,99,77,0,8.7,5,Pass
1.6,98,45,3,4.5,2,Fail
8.6,93,73,6,4.6,8,Pass
6.6,67,42,1,4.7,10,Fail
1.7,51,62,8,8.9,4,Fail
6.1,77,81,0,7.1,3,Fail
7.0,53,38,0,7.1,3,Fail
0.6,68,48,5,8.9,6,Fail
4.8,80,81,5,4.4,0,Fail
8.3,97,57,3,8.9,5,Fail
3.3,57,93,2,5.0,0,Fail
4.9,55,25,0,7.1,0,Fail
4.7,84,76,7,6.1,4,Pass
3.4,40,82,4,5.9,8,Fail
9.2,74,90,1,8.7,9,Fail
7.9,85,36,4,4.7,0,Fail
1.6,73,94,10,9.0,2,Fail
10.0,63,52,2,5.9,4,Fail
8.9,90,49,9,7.2,6,Pass
3.2,62,50,2,8.8,10,Fail
8.5,83,70,2,4.3,7,Fail
1.5,68,71,2,8.6,5,Fail
10.0,41,58,3,6.8,0,Fail
6.8,72,30,1,7.5,0,Fail
6.7,43,95,6,4.7,1,Pass
1.4,96,40,3,6.7,7,Fail
9.0,76,31,7,7.4,3,Fail
0.8,62,67,5,6.3,2,Fail
2.8,69,54,4,4.8,7,Fail
1.9,77,68,5,5.2,8,Fail
7.9,55,87,1,8.3,4,Fail
2.4,57,31,7,4.2,9,Fail
9.2,65,45,1,7.5,8,Fail
6.7,55,61,7,9.0,7,Fail
0.8,86,80,10,4.0,9,Fail
0.6,46,67,8,4.8,2,Fail
1.0,90,52,5,7.4,8,Fail
6.3,61,68,3,4.3,10,Pass
8.1,74,94,9,6.9,10,Pass
2.8,49,59,2,7.4,6,Fail
8.6,63,87,5,6.9,8,Fail
1.0,86,80,8,5.8,9,Fail
8.1,56,46,10,7.5,9,Fail
9.3,48,42,10,7.0,9,Fail
7.8,71,79,0,5.0,9,Fail
7.1,49,39,9,6.8,4,Fail
8.5,59,48,1,8.4,8,Fail
0.9,67,41,6,7.3,4,Fail
2.4,74,68,10,6.4,8,Fail
1.7,79,45,7,5.6,8,Fail
5.3,81,71,10,4.4,10,Pass
7.6,91,91,3,5.2,6,Fail
6.5,44,83,3,4.1,5,Fail
8.6,62,92,3,8.9,1,Pass
2.0,40,26,3,5.1,7,Fail
7.5,40,57,7,8.1,6,Fail
2.3,52,40,4,4.8,5,Fail
3.1,76,90,8,5.4,7,Fail
7.2,94,75,4,6.1,9,Fail
9.8,87,47,3,5.6,1,Fail
6.3,79,65,2,8.0,4,Fail
1.0,87,67,6,8.8,7,Fail
6.4,50,60,9,8.4,9,Fail
0.9,91,58,9,4.8,8,Fail
8.9,94,28,2,7.9,8,Pass
7.2,45,57,5,4.7,9,Fail
2.1,68,49,7,8.6,10,Fail
1.4,90,83,6,6.6,6,Fail
2.2,69,86,0,5.7,2,Fail
9.8,91,78,6,4.8,6,Fail
4.9,97,27,0,4.1,7,Fail
7.9,68,84,1,5.2,1,Fail
6.5,43,53,7,8.6,8,Fail
5.9,60,54,1,8.0,5,Fail
1.9,53,92,3,8.8,10,Fail
9.5,68,86,6,4.5,2,Fail
3.4,75,28,7,7.0,9,Fail
6.0,68,50,4,5.3,4,Fail
7.1,51,78,1,6.7,6,Pass
6.7,58,63,8,5.6,7,Fail
9.4,81,43,10,5.4,6,Fail
1.9,41,62,9,6.9,9,Fail
5.3,53,86,8,4.9,1,Fail
4.3,94,40,4,6.3,8,Fail
5.0,46,77,9,7.3,10,Fail
1.6,65,77,5,4.6,2,Fail
1.8,52,87,1,8.7,2,Fail
3.1,46,46,9,6.5,5,Fail
3.4,65,40,3,8.1,7,Fail
4.6,71,63,10,7.3,10,Pass
6.3,50,62,4,7.6,8,Fail
6.5,44,54,9,7.6,8,Fail
4.4,48,80,5,8.4,4,Fail
4.4,79,81,5,7.1,7,Fail
2.6,92,42,3,5.4,2,Fail
6.1,50,81,9,4.5,5,Fail
3.5,59,41,0,7.0,2,Fail
0.8,60,53,5,4.3,0,Fail
4.5,62,26,4,5.2,9,Fail
5.0,54,49,5,4.3,8,Fail
2.6,43,93,2,6.7,5,Fail
5.9,72,56,7,4.8,0,Fail
5.9,61,75,4,7.1,0,Fail
7.2,60,32,2,8.0,1,Fail
6.7,56,70,2,8.1,7,Fail
6.7,96,51,7,5.5,2,Fail
3.5,77,77,2,6.7,2,Fail
8.0,65,90,3,6.8,9,Fail
5.7,52,62,6,6.4,9,Fail
4.6,88,32,3,7.3,8,Fail
6.4,94,58,4,5.1,3,Fail
3.9,41,33,2,8.9,6,Fail
5.4,96,56,3,4.5,2,Fail
7.5,82,29,7,8.1,9,Fail
8.9,46,70,5,7.0,0,Fail
9.3,85,47,10,5.2,8,Pass
5.3,46,39,8,7.7,5,Fail
5.4,43,26,0,4.4,8,Fail
8.1,47,88,4,7.9,4,Fail
3.5,68,84,3,6.9,1,Fail
8.5,77,82,6,4.6,8,Pass
5.2,64,29,2,4.4,6,Fail
1.6,47,49,10,7.8,5,Fail
1.2,52,93,3,5.5,4,Fail
8.5,91,66,5,8.4,3,Pass
1.0,98,34,1,7.8,5,Fail
3.2,86,35,10,7.5,2,Fail
3.7,46,43,10,5.4,3,Fail
2.1,90,94,8,7.5,3,Fail
3.5,82,37,3,8.7,0,Fail
7.6,72,89,0,4.5,10,Pass
0.6,48,73,7,5.6,2,Fail
8.4,100,90,4,5.2,1,Fail
8.6,66,83,10,6.0,1,Pass
4.0,42,48,7,7.7,10,Fail
2.0,52,83,5,6.4,5,Fail
6.2,64,37,10,6.9,3,Fail
1.6,43,45,8,5.6,4,Fail
4.0,59,40,5,4.7,0,Fail
9.6,68,34,0,5.3,3,Fail
10.0,97,31,1,8.3,2,Fail
7.8,45,38,4,7.0,8,Fail
3.5,75,33,6,5.9,0,Fail
7.0,95,52,0,7.9,4,Fail
7.2,89,30,1,4.3,8,Fail
4.2,96,29,7,5.3,9,Fail
6.6,50,95,8,5.2,5,Fail
0.6,88,31,0,8.9,2,Fail
2.5,99,30,5,7.5,3,Fail
5.5,59,27,0,7.1,2,Fail
2.1,70,34,7,4.0,7,Fail
2.1,72,62,9,4.9,3,Fail
8.4,70,83,9,7.2,6,Pass
9.9,57,77,6,5.9,7,Pass
5.8,99,66,6,8.6,10,Pass
8.5,98,31,10,7.8,4,Fail
9.9,63,79,6,6.2,10,Pass
1.8,89,27,4,7.7,4,Fail
4.8,64,69,8,8.9,7,Fail
4.2,88,54,6,6.3,7,Fail
1.3,75,87,9,7.2,8,Pass
7.7,68,46,5,8.6,5,Fail
4.6,47,70,9,5.2,8,Fail
5.0,79,56,0,8.4,3,Fail
1.9,59,62,0,4.5,5,Fail
2.2,53,91,1,7.2,5,Fail
9.1,51,75,6,7.9,7,Pass
0.9,99,54,7,7.1,6,Fail
2.7,46,56,2,6.5,0,Fail
3.3,88,75,1,7.1,8,Fail
5.2,92,49,9,4.8,8,Fail
6.1,41,36,8,5.1,1,Fail
5.2,75,58,7,5.3,10,Fail
1.3,75,29,5,7.0,7,Fail
2.8,61,37,4,6.2,0,Fail
8.5,80,54,0,5.2,5,Fail
6.6,64,81,2,8.4,9,Fail
6.7,66,80,9,5.9,3,Pass
6.9,66,43,3,6.2,10,Fail
7.7,88,54,7,6.0,4,Fail
1.1,78,35,7,4.9,2,Fail
4.0,63,78,3,7.7,3,Fail
5.6,96,42,2,6.2,5,Fail
3.7,88,81,7,4.1,7,Pass
8.5,96,84,1,8.8,10,Pass
5.1,84,73,5,8.1,2,Fail
7.8,63,48,9,7.6,10,Fail
8.6,87,92,7,8.3,5,Pass
5.3,60,73,8,8.5,1,Fail
9.1,56,70,0,5.7,10,Fail
6.1,67,85,2,7.1,3,Fail
8.6,99,87,3,7.0,6,Pass
3.7,74,30,3,5.3,7,Fail
5.2,63,87,2,5.1,0,Fail
5.5,68,79,10,4.6,2,Fail
1.5,57,39,1,7.3,7,Fail
4.3,80,46,7,7.9,3,Fail
9.2,61,78,6,7.8,0,Fail
6.5,73,40,6,5.6,0,Fail
2.2,62,57,2,5.0,9,Fail
3.7,59,73,3,6.3,1,Fail
2.3,99,71,6,6.7,1,Fail
0.7,61,89,3,8.6,6,Fail
9.3,44,32,7,8.4,1,Fail
4.8,63,45,0,8.6,7,Fail
3.4,72,94,0,8.3,5,Fail
6.2,45,65,8,8.8,7,Fail
0.6,58,42,6,6.3,5,Fail
3.1,50,45,0,4.2,8,Fail
7.2,70,49,9,4.4,7,Fail
6.5,84,64,0,6.0,4,Fail
9.8,99,45,10,5.3,0,Pass
6.4,63,69,8,4.8,3,Fail
5.0,92,56,10,8.8,1,Fail
7.7,53,68,10,5.0,0,Fail
9.1,87,36,3,8.8,3,Fail
7.3,74,69,8,7.8,2,Fail
9.7,86,90,2,7.2,0,Pass
7.9,86,34,5,7.4,3,Fail
8.7,72,48,2,5.7,5,Fail
1.6,55,74,5,7.2,1,Fail
7.5,72,68,9,4.9,3,Pass
4.7,90,72,4,8.7,0,Fail
5.8,99,64,1,5.5,0,Fail
6.7,96,73,3,5.3,1,Fail
9.7,51,68,8,7.6,4,Fail
9.9,76,30,5,7.3,7,Fail
3.2,46,78,6,6.3,8,Fail
7.5,80,56,4,7.2,6,Fail
7.6,100,28,3,4.8,6,Fail
3.8,43,54,6,7.4,10,Fail
1.7,80,55,6,5.4,2,Fail
0.9,97,31,9,5.4,8,Fail
7.9,91,95,6,4.8,10,Pass
5.2,63,40,10,5.7,6,Fail
9.9,46,48,9,5.7,9,Pass
4.9,96,56,0,6.3,1,Fail
9.8,96,84,4,5.0,9,Pass
4.4,75,77,4,5.0,6,Fail
8.0,99,79,0,6.7,2,Fail
1.3,40,41,1,4.6,0,Fail
5.8,77,85,8,7.4,7,Fail
8.1,42,83,3,8.7,4,Fail
9.3,97,57,1,6.1,3,Fail
8.3,81,63,3,8.5,4,Pass
0.9,95,27,3,4.5,10,Fail
4.0,74,78,1,4.2,4,Fail
1.0,45,93,1,7.6,0,Fail
1.5,41,58,8,7.8,3,Fail
6.9,60,63,9,8.2,1,Fail
7.3,85,60,5,4.3,7,Fail
7.9,49,30,6,7.9,8,Fail
8.7,91,69,10,5.9,9,Pass
7.5,54,76,9,5.5,6,Fail
8.1,70,90,0,4.9,8,Fail
1.0,52,91,10,9.0,4,Fail
2.7,68,59,0,4.3,6,Fail
6.4,67,93,0,8.1,1,Fail
8.7,40,62,4,7.2,5,Fail
0.5,74,70,8,7.7,6,Fail
5.4,87,67,0,7.6,0,Fail
6.9,97,95,3,8.3,6,Pass
0.8,60,77,2,4.9,7,Fail
4.3,93,33,4,4.0,4,Fail
9.0,93,30,10,7.0,5,Fail
6.9,100,54,3,5.8,3,Fail
2.8,62,61,2,4.6,2,Fail
8.6,91,72,1,4.9,1,Fail
3.8,74,59,2,5.7,3,Fail
8.6,43,61,1,4.4,8,Fail
3.3,56,90,6,4.3,10,Fail
6.1,80,48,4,8.6,6,Fail
4.3,49,60,5,5.6,6,Fail
3.1,66,64,9,8.9,6,Fail
8.9,87,58,6,8.8,5,Pass
2.3,49,93,1,4.7,4,Fail
1.3,70,93,4,7.6,6,Fail
3.7,53,61,3,7.0,8,Fail
7.3,72,56,9,7.5,4,Fail
8.2,54,66,3,4.5,6,Fail
10.0,98,37,1,4.9,5,Fail
3.3,44,55,8,4.4,3,Fail
4.4,98,40,4,7.0,3,Fail
1.8,88,35,1,8.9,0,Fail
6.0,92,31,7,7.4,4,Fail
10.0,91,66,2,7.6,7,Pass
7.2,51,25,9,8.9,7,Fail
6.2,96,70,9,7.4,10,Pass
4.2,76,55,4,4.2,0,Fail
9.2,98,51,6,8.3,8,Pass
5.2,93,79,6,5.8,8,Pass
1.8,75,63,7,4.0,4,Fail
4.0,62,77,0,6.5,3,Fail
1.1,47,75,3,8.7,3,Fail
2.4,46,27,1,5.3,7,Fail
0.7,63,40,7,6.5,9,Fail
4.8,89,65,0,4.9,7,Fail
6.5,70,94,5,4.3,5,Pass
3.8,69,35,8,4.4,7,Fail
4.5,54,32,10,7.6,0,Fail
9.6,74,91,3,8.3,6,Pass
7.6,78,93,0,4.7,0,Fail
5.6,99,36,7,5.4,10,Fail
3.2,84,53,0,5.0,9,Fail
9.0,77,69,0,4.1,5,Pass
2.7,95,38,10,6.8,4,Fail
3.6,65,48,9,7.5,8,Fail
9.1,97,53,7,7.2,7,Pass
