Study_Hours,Attendance,Previous_Marks,Assignments_Completed,Result
9.3,89,54,3,Fail
4.3,66,61,2,Fail
3.4,79,31,10,Fail
5.1,73,77,1,Fail
6.8,98,71,0,Fail
9.6,79,76,4,Fail
3.2,65,62,4,Fail
9.3,99,80,6,Pass
0.7,46,92,9,Fail
5.8,100,65,10,Pass
6.5,49,56,3,Fail
1.5,57,32,10,Fail
1.8,90,80,6,Fail
4.5,84,89,0,Fail
9.7,99,74,10,Pass
6.2,85,86,1,Pass
9.4,78,86,6,Pass
8.1,61,81,8,Pass
4.9,40,60,2,Fail
8.0,47,32,2,Fail
0.7,58,25,5,Fail
1.5,42,39,9,Fail
8.4,70,55,2,Pass
8.1,87,77,7,Pass
2.7,98,57,4,Pass
5.5,69,26,1,Fail
6.3,93,39,7,Pass
8.7,100,94,9,Pass
6.2,92,95,6,Pass
4.4,68,51,1,Fail
4.1,59,82,1,Fail
4.5,99,76,4,Pass
6.7,54,91,5,Pass
8.7,65,88,6,Pass
4.8,44,69,2,Fail
2.9,88,53,5,Fail
2.7,79,69,3,Fail
7.6,45,47,7,Fail
8.3,53,49,8,Pass
1.5,73,68,7,Fail
1.1,72,65,0,Fail
6.1,88,66,10,Fail
1.9,56,52,0,Fail
8.3,96,54,10,Pass
3.4,67,25,0,Fail
1.9,90,67,5,Fail
9.2,54,65,1,Fail
2.1,42,91,1,Fail
3.2,43,60,7,Fail
2.0,62,58,8,Fail
1.6,98,29,1,Fail
0.7,42,38,10,Fail
1.0,62,49,3,Fail
2.2,46,51,3,Fail
1.0,96,50,3,Fail
6.1,81,52,5,Fail
7.0,86,79,1,Pass
4.2,83,34,4,Fail
3.5,80,48,2,Fail
5.3,87,36,0,Fail
8.8,40,46,4,Fail
8.6,92,73,7,Pass
0.9,85,28,8,Fail
2.2,85,49,3,Fail
2.7,63,26,3,Fail
2.9,88,92,8,Fail
5.9,63,76,7,Pass
4.5,42,42,9,Fail
1.0,95,39,9,Fail
4.0,54,32,9,Fail
5.5,46,58,10,Pass
1.5,77,78,4,Fail
8.4,54,66,4,Fail
1.0,92,87,3,Fail
9.3,67,49,2,Fail
1.4,40,44,8,Fail
8.5,98,58,7,Pass
9.1,71,39,8,Pass
9.8,56,94,1,Pass
8.1,81,38,5,Pass
7.9,72,58,2,Pass
6.6,41,62,9,Fail
7.9,86,29,2,Fail
1.8,64,58,1,Fail
5.6,82,57,6,Fail
5.4,94,43,9,Pass
8.6,77,34,10,Pass
4.9,80,28,1,Fail
4.2,55,25,3,Fail
6.6,54,59,1,Fail
3.0,65,31,3,Fail
1.8,92,93,5,Fail
5.0,71,42,3,Fail
4.5,61,71,0,Fail
2.7,87,72,5,Pass
4.0,92,60,0,Fail
4.0,95,87,2,Fail
3.6,58,32,0,Fail
4.1,83,41,0,Fail
7.0,76,42,4,Fail
3.3,67,34,9,Fail
9.5,64,45,8,Fail
9.2,46,47,1,Pass
5.1,56,79,0,Fail
3.6,73,46,3,Fail
5.6,94,87,7,Pass
8.6,92,79,8,Pass
6.7,51,89,9,Pass
8.1,81,32,3,Fail
5.6,45,94,1,Fail
6.5,81,68,0,Fail
3.2,60,94,1,Fail
7.5,67,50,0,Fail
2.4,83,92,9,Pass
7.1,65,66,2,Fail
8.7,89,30,9,Fail
1.8,72,54,6,Fail
6.3,100,34,5,Fail
1.4,78,91,5,Fail
7.4,58,46,9,Fail
1.3,87,40,0,Fail
9.4,64,64,1,Fail
1.8,72,55,4,Fail
9.6,48,31,4,Fail
8.1,47,82,6,Pass
6.1,75,85,8,Pass
7.9,51,77,6,Pass
8.1,100,68,2,Pass
9.5,92,53,3,Pass
2.9,82,63,8,Fail
6.1,84,61,2,Fail
1.4,76,36,5,Fail
6.4,43,30,5,Fail
2.1,63,42,8,Fail
5.9,70,57,7,Fail
5.9,95,36,5,Fail
4.9,53,32,3,Fail
5.5,70,85,4,Fail
7.8,60,51,4,Fail
8.1,48,66,2,Fail
5.2,46,62,6,Fail
6.2,62,77,2,Fail
9.3,45,77,7,Fail
1.6,44,46,8,Fail
1.6,61,85,10,Fail
1.3,52,51,1,Fail
6.7,73,84,8,Fail
4.5,41,53,0,Fail
7.9,58,32,3,Fail
6.9,67,78,1,Fail
3.7,98,27,1,Fail
9.0,78,79,1,Pass
7.7,93,28,0,Fail
3.1,60,39,9,Fail
4.0,67,67,0,Fail
3.5,65,91,4,Pass
2.0,94,54,7,Fail
1.9,98,33,10,Fail
9.4,98,41,9,Pass
4.7,85,88,1,Fail
4.1,70,76,10,Pass
7.4,72,32,7,Fail
5.8,99,52,1,Fail
9.4,57,43,4,Fail
7.9,61,37,10,Pass
5.1,94,85,4,Pass
4.1,63,68,2,Fail
9.9,54,37,9,Fail
7.3,74,71,10,Pass
9.5,59,54,10,Pass
1.6,94,29,10,Fail
8.6,95,56,9,Pass
6.6,58,38,4,Fail
1.7,72,42,2,Fail
6.1,100,87,6,Pass
7.0,85,75,2,Pass
0.6,53,34,5,Fail
4.8,76,85,7,Pass
8.3,77,65,10,Pass
3.3,79,87,3,Fail
4.9,41,78,2,Fail
4.7,58,49,8,Fail
3.4,92,62,0,Fail
9.2,54,62,6,Pass
7.9,58,76,8,Pass
1.6,59,42,6,Fail
10.0,50,48,4,Pass
8.9,49,42,9,Fail
3.2,61,46,4,Fail
8.5,93,36,7,Pass
1.5,40,27,5,Fail
10.0,57,91,0,Pass
6.8,43,30,5,Fail
6.7,74,88,0,Pass
1.4,55,25,10,Fail
9.0,88,80,6,Pass
0.8,75,48,4,Fail
2.8,87,61,5,Fail
1.9,78,45,6,Fail
7.9,66,59,2,Fail
2.4,92,57,3,Fail
9.2,69,62,4,Pass
6.7,97,52,2,Pass
0.8,100,63,8,Pass
0.6,75,83,1,Fail
1.0,81,55,9,Fail
6.3,55,50,3,Fail
8.1,89,34,6,Fail
2.8,80,50,1,Fail
8.6,95,33,4,Pass
1.0,56,37,8,Fail
8.1,88,92,2,Pass
9.3,68,31,1,Fail
7.8,51,59,5,Fail
7.1,50,84,1,Fail
8.5,74,92,3,Pass
0.9,59,35,4,Fail
2.4,46,36,6,Fail
1.7,66,51,7,Fail
5.3,79,64,7,Pass
7.6,59,93,9,Pass
6.5,98,39,0,Fail
8.6,87,36,3,Fail
2.0,71,42,0,Fail
7.5,97,87,0,Pass
2.3,66,27,2,Fail
3.1,48,51,6,Fail
7.2,42,33,9,Fail
9.8,97,36,8,Pass
6.3,98,90,7,Pass
1.0,85,25,8,Fail
6.4,46,47,1,Fail
0.9,57,89,9,Pass
8.9,42,68,9,Pass
7.2,43,30,1,Fail
2.1,55,58,5,Fail
1.4,74,93,9,Pass
2.2,43,53,5,Fail
9.8,100,62,9,Pass
4.9,67,62,10,Fail
7.9,56,71,5,Pass
6.5,71,38,0,Fail
5.9,88,84,3,Pass
1.9,59,95,2,Fail
9.5,42,35,5,Fail
3.4,43,83,6,Fail
6.0,91,83,5,Pass
7.1,46,77,2,Fail
6.7,78,51,3,Fail
9.4,63,58,7,Fail
1.9,87,84,0,Fail
5.3,43,35,2,Fail
4.3,94,83,9,Pass
5.0,82,90,1,Pass
1.6,67,73,4,Fail
1.8,52,49,2,Fail
3.1,99,64,1,Fail
3.4,58,28,4,Fail
4.6,69,91,5,Fail
6.3,64,49,1,Fail
6.5,54,29,0,Fail
4.4,65,81,1,Fail
4.4,49,71,7,Fail
2.6,40,69,9,Fail
6.1,57,28,1,Fail
3.5,46,78,3,Pass
0.8,65,70,3,Fail
4.5,92,81,3,Pass
5.0,49,83,2,Fail
2.6,40,40,0,Fail
5.9,46,39,5,Fail
5.9,70,90,3,Fail
7.2,56,62,3,Fail
6.7,69,56,2,Pass
6.7,41,45,10,Fail
3.5,60,70,6,Fail
8.0,65,78,4,Pass
5.7,66,25,2,Fail
4.6,73,64,8,Fail
6.4,87,95,9,Pass
3.9,68,44,0,Fail
5.4,91,44,10,Pass
