,Temperature_C,IceCream_Sales
163,17.8,144.0
164,28.2,254.0
166,40.8,344.0
167,24.9,191.0
168,16.7,119.0
169,25.8,247.0
170,30.4,273.0
171,29.2,238.0
172,37.5,334.0
173,39.5,327.0
174,34.8,323.0
176,34.0,287.0
177,44.6,384.0
178,34.5,301.0
179,36.4,319.0
180,39.3,343.0
181,38.7,340.0
182,39.4,361.0
183,27.8,227.0
184,18.0,137.0
185,30.3,244.0
186,24.8,208.0
187,39.2,333.0
188,40.0,348.0
189,23.5,194.0
190,23.0,190.0
191,23.4,212.0
192,44.6,424.0
193,40.1,343.0
194,37.8,350.0
195,43.2,368.0
196,39.5,350.0
197,36.1,294.0
198,38.8,340.0
199,15.3,84.0
200,35.5,316.0
201,37.6,314.0
202,28.0,218.0
203,15.2,118.0
204,41.6,391.0
205,37.4,314.0
206,21.7,152.0
207,21.8,172.0
208,34.4,298.0
209,34.0,304.0
210,41.9,381.0
211,20.5,131.0
212,27.9,238.0
214,18.3,121.0
215,25.9,198.0
216,19.8,145.0
217,38.3,312.0
218,42.9,366.0
219,36.2,305.0
220,23.7,196.0
221,24.1,191.0
222,25.5,220.0
223,26.2,217.0
224,33.8,295.0
225,22.5,197.0
227,18.1,144.0
228,28.6,246.0
229,18.0,146.0
230,16.7,114.0
231,38.2,330.0
232,31.5,246.0
233,41.0,363.0
234,44.6,388.0
235,35.5,315.0
236,42.2,359.0
237,18.8,149.0
238,29.8,258.0
239,31.1,252.0
240,20.6,160.0
241,27.8,226.0
242,18.0,137.0
243,30.9,271.0
244,38.3,356.0
245,15.4,92.0
246,16.1,86.0
247,42.4,372.0
248,41.6,369.0
249,16.3,105.0
250,34.1,297.0
251,28.7,228.0
252,16.0,126.0
253,26.0,219.0
254,43.4,170.0
255,35.9,314.0
256,39.7,342.0
257,24.6,202.0
258,27.6,225.0
259,20.2,183.0
261,43.2,390.0
262,33.9,291.0
263,44.1,382.0
264,41.8,405.0
265,15.9,99.0
266,39.8,323.0
268,26.8,201.0
269,23.6,176.0
270,44.2,402.0
271,44.6,409.0
272,26.6,217.0
273,22.1,134.0
274,39.3,343.0
275,22.8,160.0
276,39.2,321.0
277,19.7,124.0
278,35.8,293.0
279,21.9,192.0
280,32.7,271.0
281,18.5,132.0
282,44.1,398.0
284,33.0,298.0
285,17.0,138.0
286,18.2,111.0
287,36.0,331.0
288,43.5,395.0
289,17.8,101.0
290,32.8,283.0
291,31.3,257.0
292,25.2,205.0
293,42.7,377.0
294,30.8,261.0
295,32.5,272.0
296,24.6,195.0
297,31.4,287.0
298,41.7,376.0
299,17.1,93.0
300,43.5,386.0
302,25.7,191.0
303,37.6,342.0
304,24.7,206.0
305,20.9,147.0
306,41.7,394.0
308,34.1,298.0
309,26.6,211.0
310,40.5,383.0
311,33.9,280.0
312,38.1,323.0
313,19.2,140.0
314,43.9,374.0
315,23.1,176.0
316,38.4,338.0
317,36.1,320.0
318,28.7,248.0
319,22.7,177.0
320,15.3,96.0
321,43.3,358.0
322,17.6,137.0
323,39.1,320.0
324,34.6,289.0
325,27.7,242.0
327,43.9,180.0
328,30.1,262.0
329,37.4,344.0
330,17.7,96.0
331,34.5,332.0
332,17.3,139.0
333,20.9,145.0
334,43.8,373.0
335,18.4,119.0
337,34.0,304.0
338,36.1,300.0
339,41.8,358.0
340,15.7,106.0
341,35.3,296.0
342,33.5,286.0
343,32.9,285.0
344,35.7,320.0
345,33.4,290.0
346,25.2,207.0
347,41.6,369.0
348,34.3,274.0
349,42.7,349.0
351,30.3,266.0
352,34.7,285.0
353,27.5,233.0
354,19.9,164.0
355,29.2,245.0
356,31.4,243.0
357,26.7,222.0
358,38.1,329.0
359,34.0,107.0
361,16.5,105.0
362,19.8,160.0
363,19.3,158.0
364,36.1,322.0
365,42.2,356.0
366,15.6,80.0
367,23.8,189.0
368,30.7,233.0
369,31.5,261.0
370,43.2,367.0
371,20.9,158.0
372,30.9,253.0
373,41.3,390.0
374,32.3,262.0
375,24.1,187.0
376,28.7,229.0
377,33.4,268.0
378,17.5,149.0
379,15.4,99.0
380,36.9,320.0
381,34.3,286.0
382,17.2,125.0
383,30.5,265.0
384,20.6,174.0
385,23.4,185.0
386,17.4,146.0
387,37.0,334.0
388,43.2,356.0
390,24.5,176.0
392,17.9,125.0
393,18.5,134.0
394,17.1,160.0
395,36.4,340.0
396,41.3,358.0
397,22.2,166.0
398,42.2,369.0
399,31.2,273.0
400,17.8,132.0
401,36.2,341.0
402,26.2,227.0
403,26.1,227.0
404,33.8,318.0
405,34.1,312.0
406,20.3,145.0
407,24.0,176.0
408,35.2,295.0
409,35.9,305.0
410,23.6,165.0
411,30.6,246.0
412,24.6,214.0
413,16.9,110.0
415,22.3,156.0
416,15.8,99.0
418,38.9,341.0
419,39.5,341.0
420,25.5,199.0
422,23.4,173.0
423,42.2,372.0
424,29.7,238.0
425,26.3,173.0
426,27.4,220.0
428,42.2,388.0
429,38.6,319.0
430,36.8,327.0
431,23.4,183.0
432,20.5,146.0
433,21.5,172.0
434,15.5,108.0
435,17.3,131.0
436,40.7,337.0
437,38.9,348.0
438,21.0,137.0
439,38.1,321.0
440,42.3,347.0
441,41.7,363.0
442,33.0,271.0
443,18.6,143.0
444,20.5,156.0
445,41.9,372.0
446,20.3,168.0
447,16.4,93.0
448,33.2,305.0
449,41.9,356.0
450,37.8,341.0
451,41.1,390.0
452,26.2,204.0
453,24.8,211.0
454,41.3,391.0
455,19.8,140.0
456,27.3,212.0
457,37.1,332.0
458,43.5,413.0
459,43.9,386.0
460,23.8,190.0
461,20.2,131.0
462,22.5,184.0
463,41.0,387.0
464,28.9,277.0
465,22.6,177.0
466,36.9,296.0
467,34.8,323.0
468,43.6,384.0
469,22.1,157.0
470,17.2,114.0
471,44.1,415.0
472,37.5,333.0
473,32.2,272.0
474,35.2,310.0
475,40.5,336.0
476,42.9,359.0
477,21.7,188.0
478,30.2,251.0
479,32.6,276.0
481,38.9,339.0
483,25.1,224.0
484,44.7,386.0
485,15.7,127.0
486,21.0,144.0
487,18.5,139.0
488,30.3,264.0
489,23.5,195.0
490,26.3,212.0
491,16.2,86.0
492,25.1,212.0
493,42.0,357.0
494,38.3,342.0
495,31.7,292.0
496,15.2,94.0
497,40.8,364.0
498,36.7,324.0
499,17.9,144.0
