Brand,RAM_GB,Storage_GB,Camera_MP,Battery_mAh,Price_INR
Realme,4,128,50,4500,25000
OnePlus,16,128,108,5500,71800
Realme,8,64,108,4500,30300
Realme,6,512,64,5500,57600
OnePlus,8,128,48,4000,40800
Motorola,4,512,50,3000,60500
Xiaomi,6,256,108,6000,40600
Apple,12,128,48,5500,72100
Oppo,8,128,50,5500,33700
Oppo,16,512,200,6000,87300
Apple,8,128,200,5000,72600
Realme,8,512,50,4500,53800
Apple,12,128,64,4000,63700
Realme,12,256,50,5000,51100
Samsung,12,512,64,4500,73500
Realme,16,128,12,6000,39700
Realme,12,128,48,3000,46100
Realme,12,1024,64,4000,84600
Oppo,4,128,50,4500,35400
OnePlus,12,256,64,4500,54300
Oppo,8,256,50,4500,53600
Xiaomi,8,128,108,5000,44900
Realme,8,512,108,4500,55200
Vivo,16,512,50,5000,68100
OnePlus,16,128,108,5500,65800
Vivo,6,512,50,5000,54700
Vivo,12,128,50,5000,44300
Samsung,12,64,48,5000,58000
Apple,8,256,108,4000,75000
Apple,6,1024,108,4500,119000
Samsung,4,64,108,6000,48400
OnePlus,12,128,108,5000,59500
Oppo,8,256,200,4500,55200
Oppo,16,512,50,5000,71500
OnePlus,8,64,108,5500,35800
Realme,16,128,50,5000,43700
Vivo,8,256,50,5000,47200
Samsung,12,128,50,5500,54500
Realme,4,128,50,5000,29500
Vivo,8,128,50,5000,44100
Oppo,12,128,50,4500,38100
Vivo,16,256,48,4000,56400
Vivo,12,512,50,6000,68500
Samsung,4,256,108,5000,48600
Vivo,8,256,64,5000,54400
Realme,4,1024,50,5000,83400
Xiaomi,4,128,50,4000,30000
Vivo,8,128,50,5500,48900
Samsung,12,512,50,4500,67000
Xiaomi,12,128,108,5500,48100
OnePlus,12,256,48,5000,59600
Motorola,12,256,64,4500,48100
Apple,12,64,64,3000,72500
Xiaomi,4,256,50,5500,31100
OnePlus,6,128,108,4500,48000
Motorola,8,128,50,4000,43500
Realme,12,256,108,5500,56200
Samsung,4,128,64,5000,31900
Apple,8,512,108,5000,89000
Realme,8,512,64,4500,60600
Samsung,4,512,108,5500,67300
Realme,8,128,200,4500,31700
Xiaomi,12,128,50,4500,49400
Motorola,8,128,108,4500,43400
Xiaomi,6,128,64,4500,28900
OnePlus,12,512,50,4500,76700
Oppo,8,128,108,4000,37800
Apple,12,128,50,4000,70700
Vivo,6,512,50,5000,58100
Vivo,8,128,48,5500,48600
Realme,8,64,50,4000,40100
Motorola,6,128,108,4500,41200
Oppo,12,256,50,6000,56000
OnePlus,6,512,50,5500,66600
OnePlus,4,128,50,5000,30200
OnePlus,8,512,50,4500,68000
Realme,12,512,108,5000,64100
Xiaomi,12,512,108,4500,69800
Apple,16,128,12,4000,77200
Xiaomi,6,64,50,5000,32200
Samsung,8,512,50,5000,69700
Samsung,6,128,64,5000,28600
Samsung,8,256,50,5000,55900
Realme,16,256,50,4500,59500
Oppo,12,128,50,4500,47000
Oppo,8,512,64,5500,60600
OnePlus,8,512,50,5500,74600
Oppo,12,256,50,4500,53300
Apple,8,256,108,5000,82700
Motorola,6,512,64,4500,62800
Vivo,8,256,50,4000,46200
Motorola,4,256,108,5000,38500
Apple,6,512,108,4500,76900
OnePlus,4,256,48,5000,41400
Oppo,8,128,64,5000,43600
OnePlus,8,128,50,4500,41300
OnePlus,8,128,64,4000,48100
Apple,8,256,50,4500,76100
OnePlus,16,256,64,6000,73900
Apple,12,256,50,5000,81100
Xiaomi,8,128,50,5000,39000
Oppo,6,512,200,3000,67700
Oppo,12,512,50,5000,74600
Vivo,6,128,108,4000,28800
Xiaomi,8,256,200,5000,52200
Motorola,12,256,108,5500,62300
Samsung,8,256,48,5000,63300
Xiaomi,12,128,108,4500,48300
Samsung,8,512,12,3000,62200
Xiaomi,8,1024,50,3000,87400
Motorola,6,256,108,5000,51700
Xiaomi,6,512,64,5500,53800
Motorola,8,1024,50,4500,89400
OnePlus,6,128,50,5000,47000
Oppo,12,256,108,5000,67000
OnePlus,6,256,64,4000,51500
Xiaomi,8,1024,50,4000,84700
Realme,12,64,108,4500,42600
Motorola,12,128,50,5000,48800
Xiaomi,8,512,48,5000,56700
Realme,8,128,64,5000,38000
Xiaomi,16,512,200,5500,77100
Oppo,8,128,50,5500,46100
Realme,12,1024,50,6000,86900
OnePlus,12,512,48,5500,69900
Oppo,12,128,108,5500,50700
Xiaomi,6,512,50,5500,65700
Samsung,8,128,50,5000,45600
Samsung,4,256,200,5500,56300
OnePlus,8,256,12,6000,46300
Motorola,16,512,50,5000,82700
Apple,8,64,50,5000,49900
OnePlus,8,128,108,5000,42700
Oppo,4,256,50,5500,54300
Apple,16,256,50,5000,92800
Oppo,4,256,48,5500,33000
Xiaomi,4,64,64,5500,27500
Realme,6,128,108,6000,38400
Vivo,4,512,48,4500,56600
Vivo,8,64,50,5000,45000
Apple,8,128,108,5500,76000
OnePlus,6,512,12,6000,57000
Realme,4,64,50,6000,31100
Samsung,4,256,50,5000,44300
Realme,8,128,50,5000,30200
OnePlus,4,512,50,4000,47300
Oppo,12,256,50,6000,44800
Oppo,6,512,48,4500,50400
OnePlus,6,128,50,5000,34000
Xiaomi,8,256,64,5500,46800
Oppo,8,512,50,5000,52900
Apple,4,128,48,4500,44000
Vivo,4,128,108,4500,29600
Samsung,12,64,48,5500,49000
Oppo,4,1024,108,5000,81900
Oppo,8,256,50,4000,52600
Samsung,8,256,108,5000,55900
Realme,8,256,50,4500,47200
OnePlus,8,256,48,5500,51300
Realme,12,256,50,4500,48900
Samsung,12,256,12,4500,53700
Apple,6,256,50,4000,71000
OnePlus,8,128,64,5000,40700
Apple,6,512,108,5000,91900
Xiaomi,8,512,48,5500,56700
Oppo,12,128,108,5000,44300
Apple,6,256,108,4500,81700
Oppo,8,128,108,4500,44500
Samsung,16,1024,64,4500,108800
Apple,4,512,64,6000,86300
Vivo,8,512,50,4000,57800
Realme,12,128,64,6000,40200
Apple,6,128,108,4500,69600
Xiaomi,4,128,48,4000,24800
Motorola,6,64,50,4500,26200
Motorola,12,128,12,4000,32700
Vivo,4,64,200,5500,37900
OnePlus,6,1024,50,5000,92900
Xiaomi,4,64,64,4500,22700
Vivo,4,128,108,5000,49800
Vivo,8,512,200,5000,75600
Xiaomi,6,256,48,6000,48300
Samsung,8,512,108,6000,78900
Apple,8,256,108,5000,90500
Motorola,12,512,12,5500,60200
OnePlus,4,256,64,5500,31700
OnePlus,12,256,50,5000,55300
OnePlus,8,256,64,5000,55100
Realme,6,256,50,4000,39200
Samsung,12,128,50,5500,56800
Samsung,12,256,48,6000,70000
Xiaomi,6,128,48,4000,33700
OnePlus,12,512,48,5500,76700
Oppo,8,128,64,6000,35500
OnePlus,8,128,50,4500,37300
OnePlus,16,128,50,5000,66400
Motorola,8,512,64,6000,62800
Apple,12,128,64,6000,74500
Vivo,6,256,50,4000,37400
Vivo,12,512,108,4500,66500
OnePlus,8,64,50,5000,36500
Realme,6,256,108,4500,36200
Xiaomi,8,128,12,4500,24700
Motorola,6,128,64,3000,33100
Xiaomi,4,256,200,4000,43400
Vivo,4,512,108,5000,63100
Vivo,8,128,50,5000,40000
Realme,4,256,64,5000,38600
OnePlus,6,128,50,5500,37000
Xiaomi,12,256,64,5000,50600
Samsung,12,256,108,4500,67500
Xiaomi,12,256,200,3000,63000
Realme,6,256,50,4500,38400
Samsung,12,128,12,4500,57200
Motorola,8,256,64,4500,46400
Vivo,6,256,48,3000,43800
Apple,6,256,50,4000,68600
Xiaomi,12,64,50,5000,29700
Vivo,6,256,64,5000,44600
Xiaomi,8,128,48,6000,41400
Samsung,16,64,48,5500,61600
Oppo,4,128,12,5000,31100
Oppo,4,256,108,4000,39900
Samsung,16,256,64,5000,65100
Xiaomi,8,128,12,4000,35400
Apple,6,512,12,5000,86100
Oppo,12,256,50,5000,49100
Oppo,12,256,50,5000,58300
Oppo,8,256,64,4500,41000
Motorola,8,256,50,5000,42700
Realme,6,256,108,5500,53500
Xiaomi,4,512,50,5500,56100
Samsung,8,256,64,5000,54000
Vivo,6,256,12,5000,40800
Motorola,8,256,200,3000,55600
Motorola,12,256,200,5000,48900
Apple,4,64,64,5000,54600
Apple,8,256,50,4500,75100
Samsung,6,256,50,4500,49000
Apple,12,512,108,6000,103700
Vivo,6,256,64,5000,49300
Vivo,8,256,50,5000,43700
Xiaomi,8,1024,50,5000,79900
Xiaomi,8,256,50,5000,45200
Realme,8,128,108,5000,38400
OnePlus,12,128,64,4500,50300
Realme,8,64,64,5000,31800
Motorola,12,64,64,5000,55600
Xiaomi,16,256,50,3000,42300
Apple,8,256,50,5500,74400
Motorola,8,256,12,4500,42500
Oppo,4,64,108,5000,28100
Xiaomi,12,256,50,5000,55200
Vivo,8,128,50,5000,42900
Vivo,8,512,50,5000,59200
Motorola,4,128,50,6000,31800
Xiaomi,12,256,64,5000,50700
Motorola,8,128,50,5000,38300
Motorola,12,256,12,5000,49400
Apple,6,128,108,4500,68200
Apple,16,256,50,4500,90300
Vivo,6,128,50,5000,39100
Samsung,6,512,50,4500,58200
Xiaomi,12,256,108,5000,48800
OnePlus,12,256,50,5000,48100
Motorola,6,512,64,5000,62400
Motorola,8,1024,108,4500,93300
Apple,12,128,64,5500,80100
Motorola,12,128,50,5000,37800
Samsung,8,128,64,5000,58800
Oppo,8,128,50,4000,33800
Realme,12,256,50,5000,50700
Motorola,12,1024,50,3000,97300
Apple,12,1024,50,5000,119500
Motorola,8,256,48,4500,42200
Samsung,4,256,50,6000,50300
Vivo,12,512,48,4500,81300
OnePlus,12,512,50,5000,73500
Xiaomi,12,128,50,4500,51400
Samsung,4,256,108,5000,59100
Realme,6,512,12,5000,52800
Xiaomi,12,128,64,5000,38800
Oppo,4,256,50,4500,43900
OnePlus,16,1024,12,4000,94500
Xiaomi,8,1024,50,4000,93300
Motorola,12,512,48,6000,69000
Samsung,12,512,50,5000,61200
Oppo,8,128,50,3000,34100
Oppo,6,128,50,6000,39800
OnePlus,8,256,50,3000,47200
Xiaomi,8,256,12,5000,44500
Samsung,8,256,48,5000,50100
Motorola,8,256,48,6000,39800
Motorola,16,128,50,5000,52100
Apple,8,256,50,5000,76100
Samsung,6,128,50,6000,43800
Samsung,8,128,50,3000,52200
Samsung,8,128,12,6000,41600
Realme,6,128,200,5500,46100
Motorola,6,512,48,6000,58000
Apple,12,256,48,4500,73400
Oppo,8,128,48,4000,29800
Apple,16,256,200,5000,100800
Xiaomi,6,256,64,5000,52000
Vivo,4,64,64,5000,32300
Oppo,12,128,200,6000,48100
Realme,12,128,48,5000,25400
Samsung,6,256,200,4500,66200
Apple,6,128,50,5000,65000
Xiaomi,6,64,64,4000,35600
Xiaomi,8,64,50,4500,27400
Motorola,8,256,50,4000,46700
Realme,6,64,108,5500,38600
Xiaomi,4,512,48,5000,48100
Motorola,8,128,200,5000,47800
OnePlus,16,256,50,5000,64700
Vivo,8,256,64,5000,49500
OnePlus,8,256,200,5500,62700
Apple,4,64,12,5500,61700
Motorola,6,512,108,5000,58400
Samsung,6,512,50,5500,58900
Apple,12,64,64,5000,84100
Apple,12,128,48,5000,72200
Xiaomi,12,512,50,5500,61800
Apple,16,256,64,5000,90200
Samsung,16,128,50,5000,61900
Oppo,16,128,48,4500,49100
Motorola,4,256,50,5000,39000
Samsung,6,256,108,5000,55700
Xiaomi,6,256,12,5000,38100
Vivo,8,1024,64,5000,75800
Motorola,4,256,200,4500,60100
Oppo,12,128,12,5500,42100
Realme,8,256,48,4500,45400
Vivo,8,128,64,6000,33100
OnePlus,6,128,12,4500,34400
Apple,6,64,64,5000,59300
Realme,6,128,64,5000,41600
Realme,12,256,64,5500,48200
Samsung,8,64,50,4000,47300
Oppo,12,256,64,6000,50900
Samsung,6,256,64,5000,50100
Oppo,8,256,50,5000,44100
Realme,8,512,50,5000,64100
Apple,12,512,108,3000,88400
OnePlus,12,256,64,5000,51500
Samsung,6,128,50,4500,33200
Vivo,16,256,50,4500,52400
Motorola,6,256,48,5000,37900
Samsung,12,128,50,5000,45800
OnePlus,4,64,12,4000,25500
Motorola,6,128,200,4000,34500
Xiaomi,12,256,50,4500,44000
Apple,6,128,108,4500,75800
OnePlus,8,128,48,5000,46000
Vivo,8,512,50,4500,59900
Oppo,6,512,50,5500,51200
Xiaomi,12,128,50,4500,34100
Motorola,12,512,108,4000,63700
Vivo,12,64,200,5500,53300
Xiaomi,8,512,108,4500,66000
Motorola,8,1024,48,5000,93000
Motorola,6,64,108,6000,41000
OnePlus,6,256,48,6000,44500
Samsung,6,1024,108,5000,98300
Vivo,16,512,50,4000,70100
Vivo,12,1024,50,5000,93400
Apple,12,256,48,6000,95000
Oppo,8,64,12,6000,23500
Realme,8,512,50,4000,54500
Samsung,8,256,108,5000,65900
Oppo,8,256,108,4500,41100
Apple,8,128,200,4000,75400
Oppo,6,256,48,5000,39000
OnePlus,6,128,64,4500,39700
Samsung,16,256,50,4500,59200
Motorola,8,64,50,4000,37400
Apple,16,256,50,5000,93200
Vivo,6,512,50,4000,57700
Apple,8,256,50,5000,71100
Motorola,6,256,48,4000,41700
Oppo,6,128,50,6000,31200
Realme,4,1024,64,4000,76400
OnePlus,4,256,48,5000,55800
OnePlus,12,128,108,4500,55000
Oppo,8,128,50,4000,30700
Realme,8,128,108,4500,40600
Realme,8,256,64,4000,35300
Samsung,8,512,64,4000,62300
Oppo,8,256,64,5000,40800
Samsung,6,128,108,5000,46400
Xiaomi,16,512,64,4000,76100
Realme,12,128,50,5000,45900
Xiaomi,12,512,48,5000,67000
Realme,8,128,64,4500,30300
OnePlus,6,256,12,5000,41700
Apple,16,512,50,4000,103900
Xiaomi,8,128,12,4500,29500
Vivo,4,256,50,5000,37100
Realme,8,1024,48,6000,88600
Vivo,12,128,64,6000,45500
Motorola,8,64,108,6000,42200
Realme,12,256,108,5000,62800
Realme,12,128,50,4000,40500
Vivo,6,64,50,4500,37400
Xiaomi,16,256,50,4500,59500
OnePlus,8,256,50,3000,40500
Samsung,8,128,64,4000,41700
Xiaomi,4,128,50,5000,25000
Motorola,16,512,200,4500,79600
OnePlus,6,256,48,4500,46300
Samsung,4,512,108,5000,69900
Oppo,8,256,64,5000,53400
Motorola,6,1024,50,5500,87100
Realme,6,256,64,4500,37500
Xiaomi,8,128,48,5000,24800
OnePlus,8,512,108,4500,69100
Vivo,16,256,64,5000,60200
Apple,6,128,48,4000,65100
Xiaomi,12,128,12,4000,50700
Apple,8,256,64,5000,83800
Motorola,8,64,50,4500,39100
Oppo,8,128,108,4500,36800
Realme,8,128,108,6000,38600
Realme,16,256,64,3000,54700
Motorola,8,128,50,5000,34600
Samsung,6,256,64,5000,55300
Motorola,8,128,200,4500,51500
Samsung,12,64,48,5000,45000
OnePlus,4,256,50,4000,49500
Vivo,8,128,50,5000,39000
Xiaomi,12,256,50,4500,40100
Apple,12,128,64,4500,75900
Apple,16,64,50,4500,79900
Realme,8,128,50,6000,42400
Xiaomi,8,256,50,5500,42200
Xiaomi,6,128,48,6000,38600
Motorola,16,512,50,5000,74600
Apple,8,128,108,5000,66000
Motorola,12,256,64,5000,46000
Motorola,8,256,50,6000,53300
Vivo,8,64,108,5000,45800
Apple,12,256,12,5000,81700
Apple,8,128,50,5000,77100
Xiaomi,12,256,50,5000,56000
Vivo,8,128,200,4000,52200
Apple,8,512,64,5000,86000
OnePlus,8,512,64,4500,75000
Samsung,8,64,12,5500,45100
Vivo,8,256,48,5000,43200
Samsung,6,256,64,5500,49500
Oppo,4,128,50,5000,33000
Samsung,8,512,108,5500,64800
Apple,8,256,108,4000,82900
Apple,8,512,50,6000,86000
Realme,4,1024,64,5000,81500
Samsung,8,64,200,4500,52200
OnePlus,6,256,50,4500,45500
Vivo,12,256,64,4500,48500
Vivo,12,128,108,5000,48700
Oppo,6,128,50,5000,45400
Realme,8,1024,108,6000,98300
OnePlus,6,64,48,5000,38800
Realme,6,256,64,5000,40400
Xiaomi,6,512,108,5000,63100
Motorola,6,128,64,5500,43400
Vivo,8,256,50,5500,41500
Oppo,12,1024,64,4500,94500
Motorola,6,256,48,6000,33600
Realme,8,128,50,5000,42100
Realme,12,64,50,5500,51100
Vivo,16,512,64,6000,75800
Samsung,8,128,50,5000,36200
OnePlus,6,256,50,4000,49700
Apple,8,64,108,5000,64700
Motorola,8,256,50,4000,41100
Apple,16,512,50,5500,107700
Apple,8,256,50,4500,76700
Apple,12,1024,48,5000,122100
Oppo,4,128,64,6000,30300
Vivo,8,256,50,4500,45500
Motorola,12,512,12,5000,61700
OnePlus,8,256,200,5000,56100
Xiaomi,8,128,108,5000,38900
Samsung,16,512,64,4500,84900
Samsung,12,128,108,3000,55700
Xiaomi,8,256,108,5000,40000
Motorola,8,1024,50,5000,93600
Vivo,8,128,64,5000,24400
Motorola,8,128,64,4000,36300
Samsung,8,64,50,5000,41000
Samsung,6,128,50,5000,45300
Realme,12,128,48,4500,45000
Samsung,16,256,64,5000,75800
Samsung,12,128,108,4500,54500
OnePlus,16,256,108,5000,72100
Motorola,12,128,50,6000,48000
Oppo,12,128,50,5000,35800
Samsung,12,128,50,5000,65100
Realme,8,256,50,4000,33800
Realme,8,256,108,4500,49000
Realme,6,128,108,4000,37800
Motorola,8,512,108,5500,66500
Apple,6,256,108,5500,74800
Motorola,6,128,200,4500,50700
Xiaomi,8,512,50,4500,48300
Realme,8,128,12,4500,32100
Vivo,6,64,48,5000,28200
Realme,12,256,50,5000,46000
Oppo,12,128,50,5000,47500
Oppo,6,128,48,6000,42000
Vivo,4,256,200,4500,47400
Realme,8,128,48,5000,40000
Oppo,12,512,200,5000,77800
Apple,12,512,108,4500,95600
Realme,6,256,64,6000,40400
Vivo,12,256,64,4000,50400
Xiaomi,4,256,50,5000,32800
Vivo,8,1024,64,5000,91100
Motorola,16,128,48,6000,54800
Realme,6,128,108,5000,28100
Realme,6,256,50,4500,29800
OnePlus,8,256,50,5500,53900
Realme,8,128,64,5500,33100
OnePlus,16,256,64,5000,67200
Oppo,16,64,50,5500,53400
Oppo,4,512,64,4500,46200
Apple,6,128,48,5000,57600
Xiaomi,12,64,64,5500,50500
Samsung,6,128,50,4500,45800
Apple,12,128,50,5000,73400
OnePlus,8,128,48,6000,39800
OnePlus,4,64,50,5500,31400
Apple,12,128,50,5500,69700
OnePlus,6,128,50,5000,45300
Vivo,8,128,48,6000,35200
Apple,8,128,48,4000,73600
Xiaomi,8,128,50,5000,34200
Xiaomi,12,128,48,5000,37300
Vivo,8,64,64,5500,34200
Xiaomi,16,64,200,6000,44500
Oppo,16,128,50,5000,51300
Xiaomi,8,256,108,5000,46800
OnePlus,4,1024,48,5000,90800
OnePlus,12,512,12,5000,58600
Apple,16,256,64,5000,97000
Oppo,6,256,108,3000,48500
Apple,8,128,108,5000,80100
Xiaomi,8,512,12,5500,55000
Realme,4,256,108,5000,46100
Motorola,8,512,50,5500,52500
Oppo,8,512,50,5000,63400
Motorola,12,256,48,5000,48300
Realme,12,256,200,3000,49500
OnePlus,12,512,12,5000,62800
Realme,8,128,108,5000,40300
Xiaomi,8,512,64,4500,53400
OnePlus,12,64,64,3000,47900
Vivo,12,1024,64,5000,85600
Motorola,8,512,108,5000,52700
Realme,12,64,48,5000,46600
OnePlus,6,256,12,4500,49100
Oppo,12,64,64,5000,36900
Apple,4,512,50,5000,83200
Realme,6,512,48,5000,59100
Vivo,8,256,48,5000,47600
Vivo,4,512,50,3000,51100
Realme,4,64,12,6000,29900
Oppo,4,128,12,4000,23500
Samsung,8,128,108,5000,52400
Xiaomi,12,64,50,4500,39000
Apple,4,256,200,5000,78900
Oppo,8,128,200,4500,46900
Samsung,12,128,48,5500,55500
Apple,6,256,64,5000,73800
Vivo,6,512,64,5000,51400
Oppo,12,128,64,4500,50000
Vivo,12,512,48,3000,58400
Realme,8,256,48,5000,41600
Motorola,12,128,12,5000,41200
Apple,4,256,64,5000,72100
Motorola,8,128,200,6000,39700
Vivo,12,128,64,5000,51100
Oppo,6,256,64,6000,40600
Samsung,12,128,200,4500,72000
Vivo,8,128,64,5500,37400
Oppo,12,256,12,5000,49100
Vivo,8,128,108,5000,53300
Samsung,8,512,50,6000,68700
Vivo,6,128,12,5000,39000
Motorola,6,1024,50,5500,85600
Oppo,12,512,108,5000,72900
Apple,4,1024,50,4000,110600
Motorola,4,512,50,5000,57900
Motorola,6,128,48,5000,31600
Apple,6,256,12,6000,65500
Realme,12,128,48,5500,39600
OnePlus,8,512,64,4000,65400
Vivo,16,256,108,4000,61000
OnePlus,6,128,48,4000,43000
Realme,8,512,50,5000,64200
Motorola,8,128,48,4000,32200
Realme,8,256,12,5000,36000
Motorola,12,256,50,5000,44800
Motorola,16,64,64,5500,61800
Samsung,12,256,64,4500,63900
Xiaomi,6,512,50,5000,56700
Oppo,6,64,50,4000,22900
Vivo,8,256,48,5500,45900
Samsung,6,128,48,4500,46500
Samsung,12,256,108,4000,63500
Vivo,8,128,108,4500,48100
Vivo,8,512,108,5500,77200
Apple,12,512,108,4000,94800
Apple,12,128,64,5000,71100
Apple,4,128,108,5000,61600
Vivo,4,256,50,5500,48100
Samsung,8,256,12,4500,57200
Vivo,8,256,12,4000,40600
OnePlus,6,128,48,5000,40500
OnePlus,8,128,48,4500,38600
Oppo,12,1024,50,5000,99400
Vivo,12,256,64,5000,51200
Oppo,8,512,108,5000,62400
Realme,8,256,64,4000,46100
Motorola,6,512,48,5000,55400
Realme,8,64,64,4500,31500
Vivo,6,128,50,5000,35000
OnePlus,8,512,12,4000,65300
Apple,8,512,50,6000,100300
Vivo,4,128,50,5000,34800
Apple,4,128,50,4500,65900
Motorola,6,256,108,3000,43400
Realme,12,128,64,4500,39200
Samsung,8,128,64,4000,51300
Realme,6,512,48,4500,53800
Samsung,12,128,108,5500,51800
Oppo,8,256,64,5000,44700
Samsung,8,64,48,4500,43200
OnePlus,16,64,64,5000,52200
Oppo,4,256,50,4500,46200
Oppo,6,128,50,6000,38800
OnePlus,8,256,48,3000,55900
Motorola,6,64,50,5000,33400
Realme,8,512,48,5500,57900
Apple,6,256,48,4000,66000
Oppo,4,512,48,4500,52000
Oppo,6,128,200,5000,46300
Xiaomi,8,128,50,5500,29500
Oppo,6,128,50,5000,32000
Motorola,6,256,50,5000,40800
Realme,12,128,108,5500,49900
Realme,8,64,50,5500,35500
Oppo,8,128,108,5000,39500
Xiaomi,4,128,50,5000,32200
Realme,8,128,48,5000,34700
Xiaomi,6,128,50,4500,16600
Vivo,8,128,50,5500,36300
Xiaomi,6,256,108,3000,47900
Xiaomi,12,128,108,4500,37700
Apple,16,128,50,5500,83700
Motorola,4,256,200,4500,58500
Apple,4,512,50,4000,77800
Samsung,4,128,50,4500,40500
Motorola,8,256,50,5000,38800
Vivo,6,1024,12,5500,91000
OnePlus,12,256,108,4000,60400
Oppo,12,512,48,3000,64000
OnePlus,12,512,50,5000,79300
Apple,8,64,50,6000,70200
Oppo,16,256,12,4500,50800
Apple,4,256,12,6000,63900
Vivo,8,1024,64,5500,92000
Motorola,8,256,12,4500,39000
Motorola,16,64,50,5500,37900
Xiaomi,8,256,50,5000,43100
Realme,12,128,50,5000,34500
Vivo,6,256,48,5000,50800
OnePlus,16,256,108,5500,70500
Apple,8,256,200,5500,82800
OnePlus,8,512,48,5500,61600
Oppo,16,256,200,6000,61100
Motorola,8,256,64,5000,40900
Samsung,8,256,64,5500,62200
Oppo,8,512,64,5500,73400
Realme,6,512,64,4500,58100
Motorola,8,64,108,3000,36800
OnePlus,6,256,50,5000,45200
Samsung,4,128,50,5500,36400
Xiaomi,12,512,50,4500,75000
Realme,8,256,48,5000,41700
Motorola,8,256,64,3000,56200
Oppo,8,128,12,5000,43200
Samsung,8,128,50,5000,38300
Samsung,8,256,48,4000,49900
OnePlus,16,128,48,5500,54300
Vivo,16,64,64,4000,47900
Samsung,8,512,64,6000,70900
Oppo,8,256,50,4500,61300
Vivo,8,128,48,6000,33500
Samsung,8,128,50,5000,49100
Samsung,8,1024,50,4000,99400
OnePlus,8,256,64,4000,50800
Oppo,8,256,50,4000,44800
Realme,8,128,50,5000,30100
OnePlus,8,128,50,5500,45100
Xiaomi,8,64,200,5000,46900
Motorola,4,256,64,5000,42000
OnePlus,6,64,50,5000,40100
Xiaomi,12,64,50,5000,47400
OnePlus,8,256,12,5000,53200
Samsung,6,512,200,5000,77300
Xiaomi,8,256,50,5000,37000
Vivo,12,256,50,6000,50100
Motorola,6,256,200,5000,52600
Oppo,12,256,64,3000,52300
Realme,16,128,12,4000,42800
Vivo,8,256,12,5000,37400
Samsung,8,256,12,4500,44900
OnePlus,4,256,64,6000,37300
Motorola,16,512,12,5000,69500
Samsung,8,1024,108,5000,93400
